genus,species,family,subclass,habitat,W,Traup,D,Delta,Gamma
Asolene,sp.,Ampullariidae,Caenogastropoda,F,1.589191,3.210297,-0.031625,0.085487,0.032777
Marisa,cornuarietis,Ampullariidae,Caenogastropoda,F,2.028290,0.114979,0.338933,-0.217076,-0.551482
Pomacea,linnaei,Ampullariidae,Caenogastropoda,F,2.015003,1.204393,0.030435,0.106213,-0.234188
Gen.,Gen. et sp. indet.,Ampullariidae,Caenogastropoda,F,2.231040,1.136151,0.008932,0.244073,-0.024339
Neothauma,tanganyicense,Viviparidae,Caenogastropoda,F,1.670009,1.842239,0.027916,0.432546,-0.100179
Neothauma,tanganyicense,Viviparidae,Caenogastropoda,F,2.165899,1.407647,0.027738,0.399185,-0.181637
Neothauma,tanganyicense,Viviparidae,Caenogastropoda,F,1.735545,1.907345,0.022365,0.361193,0.002083
Callinina,georgiana,Viviparidae,Caenogastropoda,F,2.176200,1.402208,-0.214575,0.592877,0.021657
Viviparus,contectus,Viviparidae,Caenogastropoda,F,2.027495,1.685218,0.022717,0.440094,-0.010105
Bellamya,capillata,Viviparidae,Caenogastropoda,F,1.979806,1.710375,0.050180,0.500210,0.142705
Bellamya,pagodiformis,Viviparidae,Caenogastropoda,F,1.710589,2.287665,-0.010864,0.542189,0.166334
Bellamya,unicolor,Viviparidae,Caenogastropoda,F,1.760689,1.918008,-0.002725,0.444715,0.101033
Neothauma,tanganyicense,Viviparidae,Caenogastropoda,F,1.926842,1.965200,0.000219,0.433250,0.129071
Rissoa,splendida,Rissoidae,Caenogastropoda,M,1.497939,2.690895,-0.039220,0.366881,0.386270
Amnicola,limosus,Amnicolidae,Caenogastropoda,F,1.949513,1.625838,0.120491,0.266999,-0.015072
Korotnewia,korotnevi,Amnicolidae,Caenogastropoda,F,1.524219,2.830255,0.067796,0.317067,-0.158255
Liobaicalia,stiedae,Amnicolidae,Caenogastropoda,F,1.394939,5.522903,0.090955,0.435331,-0.049232
Maackia,angarensis,Amnicolidae,Caenogastropoda,F,1.459796,3.480980,-0.008657,0.411433,0.066921
Bithynia,leachii,Bithyniidae,Caenogastropoda,F,2.045192,1.579675,0.135275,0.214774,-0.270775
Bithynia,rubens,Bithyniidae,Caenogastropoda,F,1.425545,2.182143,0.058977,0.493300,-0.057062
Bithynia,sp.,Bithyniidae,Caenogastropoda,F,1.573991,2.230456,-0.037330,0.314253,0.042208
Bithynia,sp.,Bithyniidae,Caenogastropoda,F,1.612135,2.763647,-0.034551,0.394088,0.089868
Bithynia,tentaculata,Bithyniidae,Caenogastropoda,F,1.766956,2.230764,0.016465,0.467245,0.107623
Wattebledia,crosseana,Bithyniidae,Caenogastropoda,F,1.566341,2.859756,-0.019776,0.256557,0.030779
Heleobia,isabelleana,Cochliopidae,Caenogastropoda,F,1.368941,4.342658,0.081770,0.213220,-0.062225
Emmericia,expansilabris,Emmericiidae,Caenogastropoda,F,1.582428,2.438814,0.008086,0.279702,0.081937
Caspiohydrobia,oviformis,Hydrobiidae,Caenogastropoda,F,1.731414,2.180082,0.021888,-0.040178,-0.155795
Laevicaspia,caspia,Hydrobiidae,Caenogastropoda,F,1.329370,4.974744,-0.062567,-0.031579,-0.124077
Laevicaspia,conus,Hydrobiidae,Caenogastropoda,F,1.400382,3.486863,0.020438,0.339444,-0.350518
Turricaspia,basalis,Hydrobiidae,Caenogastropoda,F,1.236337,5.980014,-0.164793,0.335333,-0.013157
Turricaspia,dimidiata,Hydrobiidae,Caenogastropoda,F,1.258551,5.565395,-0.010383,0.209622,-0.007575
Turricaspia,eulimellula,Hydrobiidae,Caenogastropoda,F,1.190913,7.496161,0.095304,0.598952,0.037281
Turricaspia,lyrata,Hydrobiidae,Caenogastropoda,F,1.284662,5.385903,0.042098,0.119876,-0.188643
Fluviocingula,elegantula,Iravadiidae,Caenogastropoda,F,1.794614,2.661448,-0.064706,0.219183,-0.139088
Rehderiella,parva,Iravadiidae,Caenogastropoda,F,1.595691,2.658618,0.007073,0.148973,-0.176971
Wakauraia,sakaguchii,Iravadiidae,Caenogastropoda,F,1.485468,3.405396,0.019959,0.265673,-0.133839
Benedictia,limnaeoides,Lithoglyphidae,Caenogastropoda,F,2.125550,1.695009,-0.118694,0.364148,-0.078306
Lithoglyphus,naticoides,Lithoglyphidae,Caenogastropoda,F,2.651970,1.368473,-0.204691,0.690066,-0.009154
Lacunopsis,conica,Pomatiopsidae,Caenogastropoda,F,2.725106,1.333237,-0.402003,0.746453,-0.072950
Potamopyrgus,antipodarum,Tateidae,Caenogastropoda,F,1.668820,2.770636,-0.004790,0.210652,0.043878
Potamopyrgus,antipodarum,Tateidae,Caenogastropoda,F,1.613457,2.034962,0.011872,0.122698,-0.008532
Coxiella,striata,Tomichiidae,Caenogastropoda,M,1.237817,5.395799,0.028405,0.022677,-0.078063
Kobeltocochlea,martensiana,Benedictiidae,Caenogastropoda,F,2.137924,1.409796,-0.064071,0.412128,-0.082764
Clessiniola,variabilis,Hydrobiidae,Caenogastropoda,F,1.617994,2.708858,-0.005693,0.189149,0.194790
Bulinus,globosus,Bulinidae,Heterobranchia,F,2.234413,1.674631,-0.044623,0.289706,0.012195
Bulinus,tropicus,Bulinidae,Heterobranchia,F,2.704159,1.562753,-0.144032,0.340257,-0.305320
Ampullaceana,balthica,Lymnaeidae,Heterobranchia,F,2.872159,1.601216,-0.113296,0.290505,-0.073551
Ampullaceana,balthica,Lymnaeidae,Heterobranchia,F,3.304256,1.460036,-0.148898,0.279753,0.030189
Radix,auricularia,Lymnaeidae,Heterobranchia,F,3.492795,1.111871,-0.130260,0.301591,-0.030146
Radix,auricularia,Lymnaeidae,Heterobranchia,F,3.618078,1.160851,-0.102240,0.312257,-0.114122
Galba,truncatula,Lymnaeidae,Heterobranchia,F,1.884953,2.099078,-0.129975,0.319092,-0.300173
Ladislavella,elodes,Lymnaeidae,Heterobranchia,F,1.813259,2.715984,-0.189542,0.442898,-0.134416
Ladislavella,exilis,Lymnaeidae,Heterobranchia,F,1.802337,4.153460,-0.439459,0.406672,0.314876
Lymnaea,stagnalis,Lymnaeidae,Heterobranchia,F,2.004617,2.406068,-0.123064,0.446542,-0.227162
Lymnaea,stagnalis,Lymnaeidae,Heterobranchia,F,2.197401,2.592566,-0.440574,0.359333,-0.070917
Physella,gyrina,Physidae,Heterobranchia,F,1.998135,1.817348,-0.242127,0.256268,-0.380506
Glyptophysa,gibbosa,Planorbidae,Heterobranchia,F,1.730270,1.780981,-0.075791,0.324421,-0.142000
Anisus,leucostoma,Planorbidae,Heterobranchia,F,1.563590,0.629232,0.750314,-0.160914,-0.127630
Anisus,vortex,Planorbidae,Heterobranchia,F,1.738660,0.469717,0.620737,-0.762461,-0.793245
Gyraulus,acronicus,Planorbidae,Heterobranchia,F,2.094540,0.145298,0.273605,-0.678662,-0.976458
Gyraulus,acronicus,Planorbidae,Heterobranchia,F,2.700230,0.483779,0.258914,-0.419558,-0.387059
Gyraulus,trapezoides,Planorbidae,Heterobranchia,F,3.794996,0.788207,0.117260,0.859619,-0.238371
Planorbis,planorbis,Planorbidae,Heterobranchia,F,2.214940,0.935694,0.380919,-0.435286,-0.789171
Megalovalvata,baicalensis,Valvatidae,Heterobranchia,F,2.885224,0.621227,0.330317,0.265300,0.009396
